ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
A,Health Care,139.2,-0.43,-0.15,0.58,-0.95,-1.0,59.3
AAPL,Information Technology,309.38,1.96,0.97,1.24,-9.03,-9.0,44.7
ABBV,Health Care,243.8,-0.53,-0.29,0.98,-7.37,-7.4,44.7
ABNB,Consumer Discretionary,149.92,-0.48,-0.24,1.05,-2.08,-2.1,56.7
ABT,Health Care,105.46,-1.55,-0.71,0.44,-1.69,-8.1,64.2
ACGL,Financials,99.52,-1.58,-1.01,1.06,-6.54,-6.5,48.2
ACN,Information Technology,170.43,2.82,0.7,0.67,3.5,-27.8,64.9
ADA-USD,Crypto,0.19,-0.42,-0.1,1.61,13.61,-35.0,67.1
ADBE,Information Technology,257.49,2.45,0.74,0.7,3.33,-9.2,62.7
ADI,Information Technology,380.29,5.09,1.73,1.3,3.95,-14.6,49.7
ADM,Consumer Staples,79.87,2.32,1.43,1.03,-3.98,-8.5,45.5
ADP,Industrials,270.62,0.31,0.15,1.05,2.44,-1.0,67.2
ADSK,Information Technology,237.21,1.07,0.37,0.94,-0.07,-10.2,62.8
AEE,Utilities,109.44,-0.05,-0.04,0.71,-2.73,-7.5,44.1
AEP,Utilities,128.35,0.02,0.02,0.94,-3.51,-7.5,39.7
AES,Utilities,14.68,-0.2,-0.77,0.53,0.18,-13.0,62.0
AFL,Financials,125.15,-1.23,-1.11,0.99,-3.4,-3.4,55.3
AIG,Financials,79.32,0.67,0.45,0.52,-1.87,-2.1,53.5
AIZ,Financials,281.31,-0.38,-0.32,1.22,-0.63,-0.6,61.0
AJG,Financials,248.06,0.11,0.05,0.7,-6.5,-7.8,51.4
AKAM,Information Technology,123.35,4.64,0.96,1.2,10.34,-23.5,54.1
ALB,Materials,120.82,1.78,0.62,0.87,6.77,-43.8,40.8
ALGN,Health Care,173.27,0.22,0.08,0.83,-1.33,-12.3,48.8
ALL,Financials,262.56,-0.05,-0.02,0.67,-3.62,-4.3,60.6
ALLE,Industrials,165.36,2.53,1.18,0.43,2.56,-7.3,76.2
AMAT,Information Technology,546.62,5.48,1.0,0.94,14.73,-24.4,51.0
AMCR,Materials,47.14,2.43,1.17,0.53,0.96,-4.0,65.2
AMD,Information Technology,518.58,7.0,1.38,1.35,14.07,-10.7,52.3
AME,Industrials,254.05,4.22,2.96,2.46,5.23,0.0,69.3
